MIL min;MIL-EF-CON;MIL-CVCF-CON;MIL-IPF-CON;MIL-EF-MAX;MIL-CVCF-MAX;MIL-IPF-MAX
Musk 1;77.89473684;84.67836257;82.74853801;78.62573099;79.37134503;76.76169591
Musk 2;72.75689223;74.84711779;73.84210526;70.76754386;67.5820802;61.27067669
Muta 1;67.16216216;69.71550498;69.13229018;67.02702703;70.01955903;69.14651494
Muta 2;81.30952381;69.28571429;69.28571429;81.30952381;59.60813492;69.28571429
Tiger;76.875;78;76;74.5;68.75;76.5
Fox;59.875;57;56.5;57.5;52.625;51.6875
Elephant;73.5;68.5;68.5;71.5;62.4375;60.0625
BRCR;84.62328968;84.12944721;84.67171592;84.25555831;76.20817648;39.55
WIWR;94.61195286;93.79461279;93.43771044;92.24158249;82.22643098;39.55
