MIL Extreme;MIL-EF-CON;MIL-CVCF-CON;MIL-IPF-CON;MIL-EF-MAX;MIL-CVCF-MAX;MIL-IPF-MAX
Musk 1;71.89083821;84.79532164;85.78947368;76.21832359;76.7251462;71.6374269
Musk 2;75.00459482;79.56140351;80.50877193;73.06934002;66.71585213;81.41353383
Muta 1;67.11237553;66.50071124;68.64864865;67.62920816;70.08357041;68.6344239
Muta 2;81.30952381;69.28571429;69.28571429;83.84920635;52.1875;69.28571429
Tiger;67.08333333;74.5;73.5;68.91666667;64.3125;76
Fox;57.58333333;59.5;60.5625;53.5;53.125;63
Elephant;73.08333333;78.5;77.6875;67;71.8125;62.875
BRCR;83.5675325;87.06028297;86.33140229;84.30553239;77.10038208;39.35
WIWR;92.61054994;96;96.35353535;89.05218855;84.37794613;39.35
