;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;69.54135338345864;68.38847117794487;59.769423558897245;68.48872180451127;62.67418546365915;67.38847117794487;66.6842105263158;59.51629072681703;38.225563909774436
1;MIL min;69.94486215538846;59.320802005012524;65.18796992481202;69.09774436090227;63.13533834586466;69.1453634085213;66.6842105263158;59.36842105263158;38.225563909774436
2;MIL Extreme;82.1704260651629;72.15037593984962;69.29323308270676;80.1654135338346;65.18796992481202;77.10776942355889;66.6842105263158;59.721804511278194;37.17293233082707
3;BOW;68.48872180451127;57.3734335839599;65.58395989974936;59.71679197994987;67.38847117794487;63.3734335839599;66.6842105263158;38.125313283208015;37.225563909774436
4;CKNN;81.02255639097744;72.40350877192984;67.34085213032581;76.26065162907267;72.1453634085213;77.21303258145363;66.6842105263158;69.35087719298245;50.74937343358396
5;DIVERSE DENSITY;58.62155388471179;61.874686716791985;59.67418546365915;57.71679197994987;61.72681704260651;61.774436090225564;66.6842105263158;58.669172932330824;38.225563909774436
6;EM-DD;75.40852130325814;72.35087719298245;71.69924812030075;73.50375939849623;65.63659147869674;74.3032581453634;66.6842105263158;53.659147869674186;38.225563909774436
7;MILBOOST;38.521166324332135;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;34.95598206041419;34.95598206041419;16.045804988662134
