;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;86.146247999459;85.77927552239478;86.13299371097536;85.96279181600282;85.76765923554915;86.33137223962912;68.45417727986535;85.95614964422305;35.94618638655335
1;MIL min;84.12131731397787;84.67013802793619;81.92776262501033;84.85693032482024;84.66846997122227;83.93288701545582;70.82448587035745;82.46994116718886;36.31479686525558
2;MIL Extreme;86.87024472345573;86.68675848492362;86.68011631314383;86.50494030310543;87.59590950416639;86.32145406457332;74.80182434310875;86.50494030310543;36.49828310378769
3;BOW;86.32473006784934;85.59239306028296;84.8717324497141;85.23536881335046;85.77427135225301;83.77081501852145;69.0046359954617;84.316269563976;35.76600620637318
4;CKNN;75.00166054294493;74.99835448459302;73.54205080810586;75.00827265964881;75.91906168052957;75.92078984739535;66.60096627069103;72.80149373727355;57.48646394517955
5;DIVERSE DENSITY;12.844036697247708;38.04837364470392;64.77289633252936;51.321596826183985;51.62635529608008;25.756463719766476;25.571309424520432;64.05217561180864;35.94782438819136
6;EM-DD;65.20704190428961;80.46645477838138;82.66828964076672;77.35883506525708;79.19700350893012;82.4913554087866;73.40997377694626;81.95433131212948;36.49661504707376
7;MILBOOST;36.56133744366583;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;14.822728469409407
