;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;61.5;61.5;61.5;61.5;61.5;61.5;61.5;61.5;61.5
1;MIL min;51.5;51.5;51.5;51.5;51.5;51.5;51.5;51.5;51.5
2;MIL Extreme;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0
3;BOW;63.0;59.5;60.5;55.5;58.0;64.0;60.0;57.5;59.0
4;CKNN;56.0;56.0;56.0;56.0;56.0;56.0;56.0;56.0;56.0
5;DIVERSE DENSITY;55.0;51.5;54.5;54.5;54.0;52.0;48.5;51.5;52.0
6;EM-DD;56.5;55.0;57.5;53.5;57.5;54.5;56.0;53.5;54.5
7;MILBOOST;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
