;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;63.5;63.5;63.5;63.5;63.5;63.5;63.5;63.5;63.5
1;MIL min;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0
2;MIL Extreme;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0
3;BOW;56.0;50.5;51.0;43.5;56.0;54.0;53.5;52.0;52.5
4;CKNN;65.5;65.5;65.5;65.5;65.5;65.5;65.5;65.5;65.5
5;DIVERSE DENSITY;51.0;51.5;51.0;53.0;47.5;50.0;53.5;49.5;53.5
6;EM-DD;58.0;59.0;56.5;59.5;56.5;61.5;58.0;58.0;57.5
7;MILBOOST;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
