;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;70.0;69.5;70.0;69.5;70.0;69.5;69.5;70.0;70.0
1;MIL min;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
2;MIL Extreme;68.5;68.5;68.5;68.5;68.5;68.5;68.5;68.5;68.5
3;BOW;64.5;68.0;65.5;64.5;62.5;66.5;65.0;69.5;67.0
4;CKNN;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
5;DIVERSE DENSITY;47.5;55.5;49.0;57.0;55.0;57.0;51.5;55.5;52.5
6;EM-DD;56.0;55.5;58.5;56.0;55.0;56.0;50.5;55.0;55.5
7;MILBOOST;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
