MIL Extreme;MIL-EF-CON;MIL-CVCF-CON;MIL-IPF-CON;MIL-EF-MAX;MIL-CVCF-MAX;MIL-IPF-MAX
Musk 1;70.5165692;83.74269006;73.85964912;75.14619883;76.13304094;82.74853801
Musk 2;76.06056809;75.15538847;80.4085213;70.11779449;61.4683584;78.50877193
Muta 1;66.95116169;70.32716927;68.12233286;68.62019915;69.37233286;68.6059744
Muta 2;81.30952381;69.28571429;69.28571429;82.42063492;55.55555556;69.28571429
Tiger;71;70.5;73;65.83333333;64.4375;70.5
Fox;54.5;62;54;55.08333333;55.375;57.5
Elephant;67.91666667;77;78.5;67;69.3125;63.3125
BRCR;80.91581573;84.1212572;87.04044662;80.91879619;77.39967803;39.25
WIWR;92.24635241;95.43434343;96.35353535;87.98709315;83.91456229;39.25
