;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;66.23558897243107;66.23558897243107;66.23558897243107;66.23558897243107;66.23558897243107;67.18796992481202;66.23558897243107;66.23558897243107;67.18796992481202
1;MIL min;68.88972431077693;68.88972431077693;68.88972431077693;68.88972431077693;68.88972431077693;68.88972431077693;68.88972431077693;68.88972431077693;68.88972431077693
2;MIL Extreme;71.38847117794487;71.38847117794487;71.38847117794487;71.38847117794487;71.38847117794487;71.38847117794487;71.38847117794487;71.38847117794487;71.38847117794487
3;BOW;60.86967418546366;60.721804511278194;56.00751879699247;61.774436090225564;60.66917293233083;61.67418546365915;59.92230576441102;60.06516290726817;59.96491228070175
4;CKNN;67.73182957393485;67.73182957393485;67.73182957393485;67.73182957393485;67.73182957393485;67.73182957393485;67.73182957393485;67.73182957393485;67.73182957393485
5;DIVERSE DENSITY;63.67919799498746;61.87468671679197;57.664160401002505;54.606516290726816;57.012531328320804;50.796992481203006;50.696741854636585;55.55889724310778;58.71679197994988
6;EM-DD;68.74185463659148;71.63659147869674;67.68922305764411;67.68922305764411;66.77443609022556;69.68922305764411;61.774436090225564;65.58395989974937;65.6842105263158
7;MILBOOST;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728
