;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0
1;MIL min;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0;68.0
2;MIL Extreme;70.5;70.5;70.5;70.5;70.5;70.5;70.5;70.5;70.5
3;BOW;70.0;69.5;68.0;69.0;67.0;72.5;66.0;66.0;69.5
4;CKNN;65.5;65.5;65.5;65.5;65.5;65.5;65.5;65.5;65.5
5;DIVERSE DENSITY;58.0;52.5;53.5;51.0;47.0;54.5;52.5;49.0;48.0
6;EM-DD;55.5;56.0;60.0;59.0;60.5;60.5;57.0;59.0;61.0
7;MILBOOST;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
