;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;81.5773504947817;81.5773504947817;81.5773504947817;81.5773504947817;81.5773504947817;81.5773504947817;81.5773504947817;81.5773504947817;81.5773504947817
1;MIL min;80.66167752406285;80.66167752406285;80.66167752406285;80.66167752406285;80.66167752406285;80.66167752406285;80.66167752406285;80.66167752406285;80.66167752406285
2;MIL Extreme;81.22023608262141;81.22023608262141;81.22023608262141;81.22023608262141;81.22023608262141;81.22023608262141;81.22023608262141;81.22023608262141;81.22023608262141
3;BOW;84.48492362253832;84.68169420462998;84.67174597449828;83.95099519870163;85.40235481519885;85.96109370421297;85.94783941572933;85.21392451667681;85.57922893702711
4;CKNN;67.14159697645937;67.14159697645937;67.14159697645937;67.14159697645937;67.14159697645937;67.14159697645937;67.14159697645937;67.14159697645937;67.14159697645937
5;DIVERSE DENSITY;14.678899082568808;0.0;12.432432432432432;24.480400333611346;44.821239922157346;25.636829490040498;37.299416180150125;25.504587155963304;41.46788990825688
6;EM-DD;68.96332529360052;65.68371540848605;72.43303353395098;66.43749671272607;66.95820090315503;75.03159539856787;66.97803725326659;66.9747311949147;65.87711982207395
7;MILBOOST;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575
