;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;95.07070707070707;95.07070707070707;95.07070707070707;95.07070707070707;95.07070707070707;95.07070707070707;95.07070707070707;95.07070707070707;95.07070707070707
1;MIL min;85.57912457912457;85.57912457912457;85.57912457912457;85.57912457912457;85.57912457912457;85.57912457912457;85.57912457912457;85.57912457912457;85.57912457912457
2;MIL Extreme;94.35016835016835;94.35016835016835;94.35016835016835;94.35016835016835;94.35016835016835;94.35016835016835;94.35016835016835;94.35016835016835;94.35016835016835
3;BOW;84.11784511784512;83.56902356902357;83.56565656565657;83.02020202020202;83.56565656565655;83.56902356902357;83.56565656565655;83.2020202020202;84.48148148148148
4;CKNN;76.42760942760944;76.42760942760944;76.42760942760944;76.42760942760944;76.42760942760944;76.42760942760944;76.42760942760944;76.42760942760944;76.42760942760944
5;DIVERSE DENSITY;34.36363636363636;32.0;0.0;51.222222222222214;33.592592592592595;35.976430976430976;17.636363636363637;34.882154882154886;18.0
6;EM-DD;80.11111111111111;80.11111111111111;80.11111111111111;80.11111111111111;80.11111111111111;80.11111111111111;80.11111111111111;80.11111111111111;80.11111111111111
7;MILBOOST;20.43842124953236;20.43842124953236;20.43842124953236;20.43842124953236;20.43842124953236;20.43842124953236;20.43842124953236;20.43842124953236;20.43842124953236
