;EF;Original;Filtro_1;Filtro_2
0;MIL max;59.63015647226173;59.10384068278804;60.71123755334281
1;MIL min;60.462304409672825;61.258890469416784;60.711237553342826
2;MIL Extreme;59.3172119487909;60.54054054054054;62.99193930772879
3;BOW;62.58179231863441;60.58321479374109;64.26386913229018
4;CKNN;61.43954480796586;60.81650071123755;64.7226173541963
5;DIVERSE DENSITY;63.167377904220004;60.79895685158842;64.22949265054528
6;EM-DD;62.50965250965251;60.78642552326763;63.726884779516354
7;MILBOOST;62.898728068489255;59.82927010637199;64.02613317442619
