;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;62.81650071123755;62.81650071123755;62.81650071123755;62.81650071123755;62.81650071123755;62.81650071123755;62.81650071123755;62.81650071123755;62.81650071123755
1;MIL min;68.60597439544807;68.60597439544807;68.60597439544807;68.60597439544807;68.60597439544807;68.60597439544807;68.60597439544807;68.60597439544807;68.60597439544807
2;MIL Extreme;68.6344238975818;68.6344238975818;68.6344238975818;68.6344238975818;68.6344238975818;68.6344238975818;68.6344238975818;68.6344238975818;68.6344238975818
3;BOW;67.56756756756756;67.56756756756756;68.6344238975818;68.1081081081081;68.62019914651493;68.09388335704125;68.6344238975818;68.07965860597439;68.1081081081081
4;CKNN;68.54907539118066;68.05120910384069;66.9416785206259;70.15647226173543;68.56330014224751;67.4964438122333;65.86059743954482;70.69701280227596;68.56330014224753
5;DIVERSE DENSITY;71.28022759601707;72.91607396870555;70.73968705547654;71.76386913229018;72.37553342816501;74.56614509246089;75.07823613086772;72.93029871977241;72.85917496443811
6;EM-DD;68.12233285917497;67.02702702702702;66.50071123755335;66.50071123755335;66.50071123755335;65.97439544807966;52.81650071123755;65.97439544807966;66.50071123755335
7;MILBOOST;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638
