;EF;Original;Filtro_1;Filtro_2
0;MIL max;62.61904761904761;70.1984126984127;84.44444444444444
1;MIL min;65.95238095238095;74.64285714285714;84.44444444444444
2;MIL Extreme;64.84126984126983;73.16137566137566;84.44444444444444
3;BOW;64.84126984126983;74.0873015873016;84.44444444444446
4;CKNN;64.15873015873015;74.64285714285715;84.44444444444446
5;DIVERSE DENSITY;65.0132275132275;75.3835978835979;84.44444444444444
6;EM-DD;65.62358276643991;75.9126984126984;84.44444444444443
7;MILBOOST;61.84700963718821;72.80360292265054;80.32627865961199
