;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
1;MIL min;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
2;MIL Extreme;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
3;BOW;80.95238095238096;70.79365079365078;78.73015873015873;75.23809523809524;81.5873015873016;83.80952380952382;80.95238095238096;80.95238095238096;75.23809523809524
4;CKNN;55.992063492063494;55.992063492063494;55.992063492063494;53.769841269841265;55.992063492063494;55.992063492063494;55.992063492063494;58.21428571428571;55.992063492063494
5;DIVERSE DENSITY;69.28571428571429;67.06349206349206;69.28571428571429;67.06349206349206;69.28571428571429;67.06349206349206;69.28571428571429;69.28571428571429;69.28571428571429
6;EM-DD;71.5079365079365;63.57142857142857;69.28571428571429;72.14285714285714;69.92063492063491;69.92063492063491;73.73015873015872;69.28571428571429;72.14285714285714
7;MILBOOST;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263
