;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
1;MIL min;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
2;MIL Extreme;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
3;BOW;71.15079365079364;64.2063492063492;71.78571428571429;74.0079365079365;73.37301587301587;74.0079365079365;70.87301587301587;66.42857142857142;73.37301587301587
4;CKNN;77.5;77.5;77.5;77.5;77.5;77.5;77.5;77.5;77.5
5;DIVERSE DENSITY;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
6;EM-DD;74.36507936507937;69.28571428571429;72.14285714285714;69.28571428571429;69.28571428571429;72.14285714285714;69.28571428571429;72.14285714285714;69.28571428571429
7;MILBOOST;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263
