;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;93.33333333333333;81.30952380952382;87.97619047619047;100.0;100.0;100.0;0.0;40.0;6.666666666666666
1;MIL min;94.64285714285714;81.30952380952382;93.33333333333333;60.0;60.0;100.0;0.0;0.0;5.357142857142857
2;MIL Extreme;87.77777777777779;76.5873015873016;86.11111111111111;68.05555555555556;70.55555555555556;90.55555555555556;32.77777777777778;25.0;9.722222222222223
3;BOW;95.27777777777779;78.80952380952382;90.83333333333333;77.5;97.5;97.5;15.0;17.5;12.579365079365079
4;CKNN;81.94444444444444;81.30952380952382;93.33333333333333;95.55555555555556;95.55555555555556;86.11111111111111;97.77777777777779;95.55555555555556;6.666666666666666
5;DIVERSE DENSITY;90.83333333333333;79.0873015873016;88.25396825396825;72.6984126984127;72.6984126984127;92.6984126984127;37.77777777777778;20.0;9.166666666666666
6;EM-DD;97.77777777777779;83.80952380952382;88.33333333333333;77.5;77.5;97.5;20.0;20.0;2.2222222222222223
7;MILBOOST;15.480599647266313;25.015432098765434;14.00462962962963;4.375;15.133377425044092;17.355599647266313;3.950617283950617;3.950617283950617;3.950617283950617
