;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;82.30134721877842;82.30134721877842;82.30134721877842;82.30134721877842;82.30134721877842;82.30134721877842;82.30134721877842;82.30134721877842;82.30134721877842
1;MIL min;75.1785346647732;75.1785346647732;75.1785346647732;75.1785346647732;75.1785346647732;75.1785346647732;75.1785346647732;75.1785346647732;75.1785346647732
2;MIL Extreme;81.54914380602455;81.54914380602455;81.54914380602455;81.54914380602455;81.54914380602455;81.54914380602455;81.54914380602455;81.54914380602455;81.54914380602455
3;BOW;82.28821315059847;83.02221821487876;82.1080329704183;85.75455522244513;84.30155760430989;82.10466680191452;84.47840167106223;82.1080329704183;82.46178121407479
4;CKNN;61.85373697300304;61.85373697300304;61.85373697300304;61.85373697300304;61.85373697300304;61.85373697300304;61.85373697300304;61.85373697300304;61.85373697300304
5;DIVERSE DENSITY;12.792792792792792;39.765269857012974;12.792792792792792;35.96330275229358;26.488740617180987;12.844036697247708;40.0;27.522935779816514;25.520065520065522
6;EM-DD;63.3182306576802;63.3182306576802;63.501716896212315;64.05217561180864;62.400799465019645;62.95125818061598;62.95125818061598;64.60263432740499;63.868689373276524
7;MILBOOST;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575;36.204284234659575
