;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;69.5;69.5;69.5;69.5;69.5;69.5;69.5;69.5;69.5
1;MIL min;56.0;56.0;56.0;56.0;56.0;56.0;56.0;56.0;56.0
2;MIL Extreme;63.5;63.5;63.5;63.5;63.5;63.5;63.5;63.5;63.5
3;BOW;63.5;61.5;63.5;61.5;62.0;61.5;60.0;60.5;58.0
4;CKNN;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0
5;DIVERSE DENSITY;56.0;55.0;56.0;55.5;53.5;50.5;52.0;50.5;52.5
6;EM-DD;47.5;52.0;54.5;47.0;45.0;37.0;53.0;45.0;48.0
7;MILBOOST;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
