;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;66.50071123755335;66.50071123755335;66.50071123755335;66.50071123755335;66.50071123755335;66.50071123755335;66.50071123755335;66.50071123755335;66.50071123755335
1;MIL min;59.47368421052632;59.47368421052632;59.47368421052632;59.47368421052632;59.47368421052632;59.47368421052632;59.47368421052632;59.47368421052632;59.47368421052632
2;MIL Extreme;67.58179231863443;67.58179231863443;67.58179231863443;67.58179231863443;67.58179231863443;67.58179231863443;67.58179231863443;67.58179231863443;67.58179231863443
3;BOW;70.24182076813656;69.71550497866288;68.09388335704125;70.24182076813656;68.6344238975818;68.09388335704125;68.6344238975818;69.71550497866288;68.1081081081081
4;CKNN;59.07539118065434;64.86486486486487;68.69132290184922;61.749644381223334;62.290184921763874;61.2375533428165;58.49217638691323;60.611664295874824;61.26600284495022
5;DIVERSE DENSITY;71.83499288762447;69.6728307254623;69.14651493598862;70.76813655761023;71.83499288762447;71.84921763869133;69.14651493598862;69.13229018492176;69.6728307254623
6;EM-DD;66.50071123755335;52.80227596017071;68.60597439544807;66.50071123755335;64.87908961593173;66.50071123755335;65.96017069701281;64.87908961593173;64.87908961593173
7;MILBOOST;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638
