BOW;MIL-EF-CON;MIL-CVCF-CON;MIL-IPF-CON;MIL-EF-MAX;MIL-CVCF-MAX;MIL-IPF-MAX
Musk 1;68.85233918;61.64473684;61.98830409;71.44005848;58.28216374;58.04824561
Musk 2;73.10620301;64.07863409;63.67606516;71.14035088;59.35338346;66.52161654
Muta 1;67.09103841;67.83605974;67.89295875;67.6742532;69.49324324;68.23079659
Muta 2;81.30952381;77.38095238;77.68353175;83.84920635;55.55555556;80.47619048
Tiger;67;68.5625;68.875;68.5;62.9375;67.75
Fox;57.5625;57.8125;58.3125;53.4375;52.6875;53.5625
Elephant;72.625;74.5625;71.4375;67.5625;63.5625;62.1875
BRCR;83.545432;85.93984101;85.45713958;84.21235226;75.31391212;39.35
WIWR;89.5993266;83.8543771;83.87289562;86.93097643;73.56228956;39.35
