;EF;Original;Filtro_1;Filtro_2
0;MIL max;68.0796586059744;67.56756756756756;69.16073968705548
1;MIL min;67.83072546230441;67.56756756756758;69.16073968705547
2;MIL Extreme;67.74774774774775;67.56756756756758;69.16073968705547
3;BOW;67.43243243243244;67.56756756756758;69.16073968705545
4;CKNN;66.17638691322901;68.099573257468;69.049786628734
5;DIVERSE DENSITY;67.03413940256046;68.01090564248459;69.06827880512091
6;EM-DD;67.10831131883764;67.94757163178215;69.08148750254011
7;MILBOOST;66.92255452652623;67.78314943677675;67.21527987147138
