;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;65.44807965860596;65.44807965860596;65.44807965860596;65.44807965860596;65.44807965860596;65.44807965860596;65.44807965860596;65.44807965860596;65.44807965860596
1;MIL min;69.13229018492176;69.13229018492176;69.13229018492176;69.13229018492176;69.13229018492176;69.13229018492176;69.13229018492176;69.13229018492176;69.13229018492176
2;MIL Extreme;68.62019914651495;68.62019914651495;68.62019914651495;68.62019914651495;68.62019914651495;68.62019914651495;68.62019914651495;68.62019914651495;68.62019914651495
3;BOW;67.02702702702702;67.04125177809388;68.6344238975818;67.04125177809388;67.04125177809388;69.6728307254623;67.02702702702702;68.60597439544807;67.04125177809388
4;CKNN;75.51920341394025;75.53342816500711;74.96443812233287;77.12660028449503;75.5049786628734;78.2076813655761;78.17923186344238;76.60028449502133;73.96870554765292
5;DIVERSE DENSITY;77.62446657183499;71.32290184921764;69.16073968705548;72.9018492176387;69.70128022759602;68.1081081081081;69.70128022759602;73.88335704125177;69.20341394025606
6;EM-DD;52.98719772403983;65.9601706970128;66.50071123755335;66.50071123755335;67.04125177809388;66.50071123755335;66.50071123755335;52.98719772403983;67.04125177809388
7;MILBOOST;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638;65.62225698034638
