;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;71.75438596491229;66.37426900584795;58.77192982456139;61.92982456140351;59.82456140350877;67.60233918128655;56.54970760233918;63.9766081871345;57.777777777777786
1;MIL min;77.30994152046785;65.26315789473685;59.82456140350877;68.47953216374269;64.21052631578948;74.15204678362572;55.43859649122807;62.865497076023395;56.66666666666667
2;MIL Extreme;72.63157894736841;64.97076023391813;66.3157894736842;69.2982456140351;56.60818713450292;70.46783625730993;56.49122807017544;72.92397660818713;48.94736842105262
3;BOW;58.59649122807018;54.21052631578948;56.49122807017544;53.040935672514614;48.83040935672515;54.210526315789465;58.71345029239767;54.44444444444444;54.327485380116954
4;CKNN;70.46783625730994;69.2982456140351;72.69005847953217;72.51461988304092;65.14619883040936;71.6374269005848;64.97076023391813;69.41520467836257;61.81286549707603
5;DIVERSE DENSITY;57.54385964912281;55.43859649122807;62.105263157894726;58.30409356725147;48.888888888888886;54.327485380116954;62.105263157894726;69.35672514619883;52.222222222222214
6;EM-DD;75.90643274853801;70.52631578947368;67.30994152046785;71.52046783625731;61.6374269005848;73.80116959064328;58.47953216374268;63.80116959064327;53.04093567251463
7;MILBOOST;53.90479121781061;50.94182825484764;50.94182825484764;50.94182825484764;50.0;50.0;39.529085872576175;39.01234567901234;0.0
