;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
1;MIL min;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
2;MIL Extreme;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
3;BOW;76.23015873015872;78.45238095238096;78.45238095238096;76.23015873015873;78.45238095238096;76.23015873015873;76.23015873015873;74.0079365079365;76.23015873015872
4;CKNN;74.0079365079365;74.0079365079365;74.0079365079365;73.37301587301586;74.0079365079365;74.0079365079365;76.23015873015872;74.0079365079365;76.23015873015872
5;DIVERSE DENSITY;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
6;EM-DD;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;71.5079365079365;71.5079365079365;71.5079365079365;69.28571428571429
7;MILBOOST;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263
