;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5
1;MIL min;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0
2;MIL Extreme;59.5;59.5;59.5;59.5;59.5;59.5;59.5;59.5;59.5
3;BOW;59.0;63.0;59.5;55.0;53.0;62.0;59.0;57.5;53.5
4;CKNN;59.5;59.5;59.5;59.5;59.5;59.5;59.5;59.5;59.5
5;DIVERSE DENSITY;50.0;54.0;54.0;53.5;54.0;52.0;53.5;56.5;59.5
6;EM-DD;56.5;57.0;58.5;58.5;61.0;61.5;63.0;60.0;60.0
7;MILBOOST;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
