;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;71.44110275689222;71.44110275689222;71.44110275689222;71.44110275689222;71.44110275689222;71.44110275689222;71.44110275689222;71.44110275689222;71.44110275689222
1;MIL min;75.74185463659146;75.74185463659146;75.74185463659146;75.74185463659146;75.74185463659146;75.74185463659146;75.74185463659146;75.74185463659146;75.74185463659146
2;MIL Extreme;82.56140350877193;82.56140350877193;82.56140350877193;82.56140350877193;82.56140350877193;82.56140350877193;82.56140350877193;82.56140350877193;82.56140350877193
3;BOW;65.8796992481203;62.922305764411036;67.88471177944862;63.87468671679197;61.022556390977435;69.88972431077693;66.08020050125313;59.817042606516296;62.22305764411027
4;CKNN;78.45112781954887;78.45112781954887;78.45112781954887;78.45112781954887;78.45112781954887;78.45112781954887;78.45112781954887;78.45112781954887;78.45112781954887
5;DIVERSE DENSITY;60.721804511278194;61.82205513784461;60.82205513784461;60.86967418546366;58.817042606516296;61.774436090225564;57.96491228070175;62.827067669172926;60.82205513784461
6;EM-DD;75.44611528822055;72.44110275689222;72.4937343358396;77.35087719298245;77.45112781954887;73.44611528822055;72.44110275689222;71.54135338345864;72.44110275689222
7;MILBOOST;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728;39.38284432886728
