DIVERSE DENSITY;MIL-EF-CON;MIL-CVCF-CON;MIL-IPF-CON;MIL-EF-MAX;MIL-CVCF-MAX;MIL-IPF-MAX
Musk 1;69.96588694;63.3625731;68.88888889;71.17933723;67.10526316;67.96783626
Musk 2;69.84753551;60.5839599;60.16134085;67.56244779;58.85526316;58.36904762
Muta 1;67.35064011;72.78449502;74.75284495;68.88809862;70.26671408;72.04836415
Muta 2;80.73082011;69.28571429;69.28571429;82.97619048;56.00694444;69.28571429
Tiger;66.58333333;51;53.3125;64.45833333;51.8125;51.625
Fox;55.04166667;51.1875;52.3125;54.58333333;53.625;51.5
Elephant;67.33333333;65;64.375;68.83333333;61.1875;58
BRCR;77.13482206;33.96417247;30.61149494;76.89251553;56.98319733;19.25
WIWR;87.81874299;23.58838384;23.55387205;85.31088664;41.45075758;9.25
