;CVCF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;72.0;75.0;71.0;72.5;72.0;72.5;59.5;70.5;51.5
1;MIL min;77.0;75.5;74.0;75.0;74.5;77.5;63.0;59.5;51.0
2;MIL Extreme;78.5;76.0;71.5;75.0;72.5;76.0;70.0;70.0;52.0
3;BOW;68.5;71.5;68.5;70.0;68.5;71.5;66.0;64.5;52.0
4;CKNN;72.5;77.0;72.5;76.0;76.0;73.0;69.0;74.5;54.0
5;DIVERSE DENSITY;55.0;54.5;52.0;54.5;52.0;54.5;50.5;49.0;51.0
6;EM-DD;65.0;64.5;69.5;64.5;64.5;67.5;61.0;58.5;52.0
7;MILBOOST;51.9;50.0;50.0;50.0;50.0;50.0;50.0;50.0;41.900000000000006
