;EF;Original;Filtro_1;Filtro_2
0;MIL max;74.39348370927317;73.4937343358396;71.48872180451127
1;MIL min;71.53884711779449;73.09398496240601;70.58897243107769
2;MIL Extreme;74.51127819548873;73.92898913951544;72.20969089390141
3;BOW;71.84147869674185;71.65350877192984;70.62719298245614
4;CKNN;72.60350877192982;71.88170426065162;70.87017543859649
5;DIVERSE DENSITY;70.14786967418546;70.19715956558062;69.187552213868
6;EM-DD;70.08986752595776;70.58181167203725;69.8388829215897
7;MILBOOST;66.25148962632144;66.68194075414098;66.03187809749939
