;EF;Original;Filtro_1;Filtro_2
0;MIL max;95.979797979798;95.79797979797979;96.16161616161617
1;MIL min;94.42760942760944;94.61447811447812;94.60942760942761
2;MIL Extreme;95.06734006734008;95.00785634118967;95.1885521885522
3;BOW;92.01178451178453;91.6936026936027;91.96548821548821
4;CKNN;90.43434343434343;90.43569023569026;90.43501683501685
5;DIVERSE DENSITY;89.1077441077441;89.77890011223347;89.22951739618406
6;EM-DD;89.6993746993747;90.01250601250601;89.77777777777779
7;MILBOOST;81.04175551814441;81.31574541713431;81.1103582117471
