;EF;Original;Filtro_1;Filtro_2
0;MIL max;71.75438596491229;73.91812865497076;71.75438596491229
1;MIL min;77.63157894736841;78.71345029239765;77.07602339181287
2;MIL Extreme;80.33138401559454;79.96101364522416;79.96101364522416
3;BOW;76.82748538011695;76.02339181286548;77.66081871345028
4;CKNN;78.61988304093566;78.4093567251462;79.49707602339181
5;DIVERSE DENSITY;77.46588693957115;76.92007797270955;79.82456140350877
6;EM-DD;78.33751044277359;78.18713450292398;80.51796157059314
7;MILBOOST;74.91305016928285;74.78147122191444;76.82094490612496
