;IPF;Original;MIL max;MIL min;MIL Extreme;BOW;CKNN;DIVERSE DENSITY;EM-DD;MILBOOST
0;MIL max;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
1;MIL min;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429
2;MIL Extreme;58.17460317460317;58.17460317460317;58.17460317460317;58.17460317460317;58.17460317460317;58.17460317460317;58.17460317460317;58.17460317460317;58.17460317460317
3;BOW;76.23015873015872;74.0079365079365;76.23015873015872;74.0079365079365;76.23015873015872;76.23015873015872;76.23015873015872;76.23015873015872;76.23015873015872
4;CKNN;70.5952380952381;70.5952380952381;70.5952380952381;70.5952380952381;70.5952380952381;70.5952380952381;70.5952380952381;70.5952380952381;70.5952380952381
5;DIVERSE DENSITY;66.78571428571429;61.78571428571428;66.78571428571429;66.78571428571429;66.78571428571429;66.78571428571429;66.78571428571429;66.78571428571429;66.78571428571429
6;EM-DD;69.28571428571429;69.28571428571429;74.0079365079365;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;69.28571428571429;66.42857142857142
7;MILBOOST;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263;35.4109977324263
