;EF;Original;Filtro_1;Filtro_2
0;MIL max;74.03508771929823;71.87134502923975;71.87134502923978
1;MIL min;74.44444444444443;73.30409356725144;75.49707602339181
2;MIL Extreme;74.97076023391813;74.58089668615983;75.71150097465888
3;BOW;72.28070175438597;67.86549707602339;70.90643274853801
4;CKNN;72.80701754385964;69.50877192982458;72.57309941520467
5;DIVERSE DENSITY;72.84600389863546;69.17153996101365;73.18713450292397
6;EM-DD;74.70342522974101;70.48454469507101;74.53634085213032
7;MILBOOST;71.73322560787935;68.04170514004309;71.58702677746999
